Film_title;Release_year;Director;Genres;Original_language;Average_rating;Runtime
Search Party;nan;Scot Armstrong;['Comedy'];English;2.54;93
Cloverfield;nan;Matt Reeves;['Thriller', 'Horror', 'Action', 'Science Fiction'];English;3.4;84
Don't Think Twice;nan;Mike Birbiglia;['Comedy', 'Drama'];English;3.44;92
Band Aid;nan;Zoe Lister-Jones;['Drama', 'Music', 'Comedy'];English;3.42;91
Woman in the Dunes;nan;Hiroshi Teshigahara;['Thriller', 'Drama'];Japanese;4.46;147
What's Opera, Doc?;nan;Chuck Jones;['Comedy', 'Animation', 'Music'];English;4.2;7
The Face of Another;nan;Hiroshi Teshigahara;['Science Fiction', 'Drama'];Japanese;4.23;122
We Don't Belong Here;nan;Peer Pedersen;['Drama', 'Family'];English;2.95;92
The Fearless Vampire Killers;nan;Roman Polanski;['Horror', 'Comedy'];English;3.28;108
Luana;nan;Roberto Infascelli;['Adventure'];Italian;nan;88
The Secret of My Success;nan;Andrew L. Stone;['Comedy'];English;nan;112
Mrs. Pollifax — Spy;nan;Leslie H. Martinson;['Comedy', 'Adventure'];English;nan;110
After the Fox;nan;Vittorio De Sica;['Comedy', 'Crime'];English;3.28;108
Hotel Paradiso;nan;Peter Glenville;['Comedy'];English;nan;98
The Busy Body;nan;William Castle;['Comedy'];English;nan;101
Who's Minding the Mint?;nan;Howard Morris;['Comedy', 'Romance'];English;3.36;97
Mad Monster Party?;nan;Jules Bass;['Horror', 'Animation', 'Comedy', 'Fantasy', 'Music', 'Family'];English;3.3;95
The Night They Raided Minsky's;nan;William Friedkin;['Comedy'];English;3.19;99
Yours, Mine and Ours;nan;Melville Shavelson;['Comedy'];English;3.42;111
What's New Pussycat?;nan;Clive Donner;['Comedy', 'Romance'];English;2.94;108
Mixed Company;nan;Melville Shavelson;['Family', 'Comedy', 'Drama'];English;nan;109
Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe;nan;Robert McCallum, Randall Lobb;['Documentary'];English;3.33;95
Valhalla;nan;Peter Madsen, Jeffrey James Varab;['Adventure', 'Animation', 'Fantasy'];Danish;3.42;76
The Boys from St. Petri;nan;Søren Kragh-Jacobsen;['Action', 'War', 'Drama'];Danish;3.44;111
All Hallows' Eve;nan;Damien Leone;['Horror'];English;2.19;82
American Mary;nan;Jen Soska, Sylvia Soska;['Thriller', 'Horror'];English;3.31;102
Love and Anarchy;nan;Lina Wertmüller;['Drama', 'Comedy', 'Romance'];Italian;4.0;126
The Blue Light;nan;Leni Riefenstahl;['Drama', 'Adventure', 'Fantasy'];German;3.37;85
Nintendo Quest;nan;Robert McCallum;['Documentary'];English;2.67;92
The Stranger;nan;Orson Welles;['Thriller', 'Crime'];English;3.7;95
The Five Venoms;nan;Chang Cheh;['Mystery', 'Action', 'Drama'];Chinese;3.53;102
The Flying Guillotine;nan;Ho Meng-Hua;['Action'];Chinese;3.34;105
The 36th Chamber of Shaolin;nan;Lau Kar-Leung;['Adventure', 'Action'];Chinese;4.03;115
Return to the 36th Chamber;nan;Lau Kar-Leung;['Action', 'Comedy'];Chinese;3.43;101
Flying Guillotine II;nan;Cheng Kang, Hua Shan;['Action'];Chinese;3.26;88
Dayveon;nan;Amman Abbasi;['Drama'];English;3.47;75
Elle;nan;Paul Verhoeven;['Thriller', 'Drama'];French;3.71;131
Veronica;nan;Alejandro Martínez Beltrán, Carlos Algara;['Drama', 'Mystery', 'Thriller'];Spanish;2.87;81
#realityhigh;nan;Fernando Lebrija;['Comedy'];English;1.85;99
1898: Our Last Men in the Philippines;nan;Salvador Calvo;['History', 'Drama', 'War'];Spanish;3.19;130
Forgetting Sarah Marshall;nan;Nicholas Stoller;['Drama', 'Comedy', 'Romance'];English;3.31;111
The Model;nan;Mads Matthiesen;['Drama'];Danish;2.82;105
Korengal;nan;Sebastian Junger;['War', 'Documentary'];English;3.5;84
Touched with Fire;nan;Paul Dalio;['Drama', 'Romance'];English;3.2;102
Random Hearts;nan;Sydney Pollack;['Thriller', 'Drama', 'Romance'];English;2.6;133
Mercy;nan;Chris Sparling;['Thriller'];English;2.06;82
Zapped;nan;Peter DeLuise;['TV Movie', 'Comedy', 'Family'];English;2.1;94
Savage Dog;nan;Jesse V. Johnson;['Drama', 'Action'];English;2.76;95
The Protector;nan;James Glickenhaus;['Action', 'Crime', 'Thriller'];English;2.91;94
The Last King;nan;Nils Gaup;['Action', 'History', 'Drama', 'Adventure'];Norwegian;2.97;99
600 Miles;nan;Gabriel Ripstein;['Drama', 'Thriller'];Spanish;3.07;85
Legends of Oz: Dorothy's Return;nan;Dan St. Pierre, Will Finn;['Family', 'Fantasy', 'Animation'];English;2.06;88
The After Party;nan;Ian Edelman;['Comedy', 'Music'];English;2.66;89
Visaranai;nan;Vetrimaaran;['Crime', 'Drama', 'Thriller'];Tamil;4.06;118
Saving Banksy;nan;Colin Day;['Documentary'];English;3.34;80
Tarzan;nan;Reinhard Klooss;['Animation', 'Adventure', 'Action', 'Family'];English;2.11;94
Plastic;nan;Julian Gilbey;['Crime', 'Drama', 'Comedy', 'Action'];English;2.6;102
Pokémon the Movie: Hoopa and the Clash of Ages;nan;Kunihiko Yuyama;['Adventure', 'Action', 'Animation', 'Family', 'Fantasy'];Japanese;2.77;73
Krrish;nan;Rakesh Roshan;['Action', 'Science Fiction'];Hindi;2.86;174
Toro;nan;Kike Maíllo;['Crime', 'Thriller', 'Drama'];Spanish;3.03;105
Nitro Circus: The Movie;nan;Jeremy Rawle, Gregg Godfrey;['Comedy', 'Action', 'Documentary'];English;3.15;92
Family Blood;nan;Sonny Mallhi;['Horror', 'Thriller'];English;1.9;92
Iceman;nan;Law Wing-Cheong;['Comedy', 'Science Fiction', 'Adventure', 'Fantasy', 'Action'];Cantonese;2.27;104
The Other One: The Long, Strange Trip of Bob Weir;nan;Mike Fleiss;['Documentary', 'Music'];English;3.55;85
Becoming Zlatan;nan;Magnus Gertten, Fredrik Gertten;['Documentary'];Swedish;3.29;99
Four Minutes;nan;Chris Kraus;['Drama', 'Music'];German;3.63;112
The Samaritan;nan;David Weaver;['Thriller'];English;2.66;90
Bowie: The Man Who Changed the World;nan;Sonia Anderson;['Music', 'Documentary'];English;2.57;98
Hunter x Hunter: Phantom Rouge;nan;Yuzo Sato;['Animation', 'Adventure', 'Fantasy', 'Action'];Japanese;3.45;97
The Carter Effect;nan;Sean Menard;['Documentary'];English;3.37;60
Spiders;nan;Tibor Takács;['Science Fiction', 'Thriller'];English;1.73;89
Werewolf: The Beast Among Us;nan;Louis Morneau;['Thriller', 'Horror', 'Drama'];English;2.4;93
Capture the Flag;nan;Enrique Gato;['Comedy', 'Family', 'Animation', 'Adventure'];Spanish;2.56;94
The Killer;nan;Marcelo Galvão;['Action', 'Western'];Portuguese;2.78;99
American Poltergeist;nan;Mike Rutkowski;['Horror'];English;1.4;77
Under an Arctic Sky;nan;Chris Burkard;['Adventure', 'Documentary'];English;3.54;40
Iron Man & Hulk: Heroes United;nan;Leo Riley, Eric Radomski;['Adventure', 'Animation', 'Family', 'Action'];English;2.26;71
All Work All Play: The Pursuit of eSports Glory Live;nan;Patrick Creadon;['Documentary'];English;3.23;90
Summer of '92;nan;Kasper Barfoed;['Drama', 'Comedy'];Danish;3.3;110
Operações Especiais;nan;Tomás Portella;['Thriller', 'Action', 'Crime'];Portuguese;2.97;99
Sword Master;nan;Derek Yee Tung-Sing;['Action'];Chinese;2.98;108
Krrish 3;nan;Rakesh Roshan;['Action', 'Science Fiction'];Hindi;2.23;152
Teddy Bear;nan;Mads Matthiesen;['Romance', 'Comedy', 'Drama'];Danish;3.6;92
I Am Here;nan;Anders Morgenthaler;['Thriller', 'Drama'];English;2.9;97
Dead Rising: Endgame;nan;Pat Williams;['Horror', 'Action'];English;2.33;96
The Guardian Brothers;nan;Gary Wang;['Fantasy', 'Family', 'Animation'];Chinese;2.63;103
God of War;nan;Gordon Chan;['History', 'Action'];Cantonese;3.53;130
Anina;nan;Alfredo Soderguit;['Animation', 'Family', 'Adventure'];Spanish;3.57;80
Iron Man & Captain America: Heroes United;nan;Leo Riley;['Action', 'Adventure', 'Animation'];English;2.51;71
We All Scream for Ice Cream;nan;Tom Holland;['Horror', 'TV Movie'];English;2.62;57
Fatal Beauty;nan;Tom Holland;['Comedy', 'Action'];English;2.77;104
The Stranger Within;nan;Tom Holland;['TV Movie', 'Thriller'];English;nan;100
The Grudge 2;nan;Takashi Shimizu;['Horror', 'Thriller'];English;2.47;102
Suburban Girl;nan;Marc Klein;['Drama', 'Romance', 'Comedy'];English;2.58;97
Veronika Decides to Die;nan;Emily Young;['Drama', 'Romance'];English;2.82;103
TMNT;nan;Kevin Munroe;['Family', 'Comedy', 'Animation', 'Adventure'];English;2.96;86
Southland Tales;nan;Richard Kelly;['Thriller', 'Comedy', 'Science Fiction'];English;3.04;144
Simply Irresistible;nan;Mark Tarlov;['Romance', 'Comedy'];English;2.5;95
Harvard Man;nan;James Toback;['Drama'];English;2.41;99
How High;nan;Jesse Dylan;['Comedy'];English;2.99;93
The Hunchback of Notre Dame II;nan;Bradley Raymond;['Family', 'Animation', 'Comedy'];English;1.97;68
Can't Hardly Wait;nan;Deborah Kaplan, Harry Elfont;['Romance', 'Comedy'];English;3.1;100
The Tuxedo;nan;Kevin Donovan;['Thriller', 'Science Fiction', 'Action', 'Comedy'];English;2.41;98
Sister Act 2: Back in the Habit;nan;Bill Duke;['Comedy', 'Music'];English;3.22;107
The Audrey Hepburn Story;nan;Steven Robman;['Drama', 'TV Movie'];English;2.91;133
Garfield;nan;Peter Hewitt;['Family', 'Comedy'];English;2.51;80
I Still Know What You Did Last Summer;nan;Danny Cannon;['Horror', 'Thriller', 'Mystery'];English;2.39;100
House Arrest;nan;Harry Winer;['Comedy', 'Family'];English;2.87;108
Trojan War;nan;George Huang;['Romance', 'Comedy'];English;2.7;85
Heartbreakers;nan;David Mirkin;['Crime', 'Romance', 'Comedy'];English;3.0;123
Munchie;nan;Jim Wynorski;['Comedy', 'Fantasy', 'Family'];English;2.22;80
Café;nan;Marc Erlbaum;['Drama'];English;2.92;103
A Christmas Carol;nan;Arthur Allan Seidelman;['Drama', 'TV Movie'];English;3.01;87
Shortcut to Happiness;nan;Alec Baldwin;['Comedy', 'Drama', 'Fantasy'];English;2.33;106
Delgo;nan;Marc F. Adler, Jason Maurer;['Family', 'Adventure', 'Animation', 'Science Fiction', 'Fantasy'];English;1.86;94
Confessions of a Sociopathic Social Climber;nan;Dana Lustig;['TV Movie', 'Comedy', 'Romance'];English;2.76;96
The Suburbans;nan;Donal Lardner Ward;['Music', 'Drama', 'Comedy'];English;2.76;81
The Truth About Love;nan;John Hay;['Comedy', 'Romance', 'Drama'];English;2.82;94
The Lost Valentine;nan;Darnell Martin;['Romance', 'TV Movie', 'Drama'];English;3.33;100
Elf;nan;Jon Favreau;['Family', 'Fantasy', 'Comedy'];English;3.46;97
The Internship;nan;Shawn Levy;['Comedy'];English;2.82;119
Old School;nan;Todd Phillips;['Comedy'];English;3.17;92
The House;nan;Andrew J. Cohen;['Comedy'];English;2.52;88
Daddy's Home 2;nan;Sean Anders;['Comedy'];English;2.66;100
Bewitched;nan;Nora Ephron;['Fantasy', 'Comedy', 'Romance'];English;2.5;102
Superstar;nan;Bruce McCulloch;['Comedy'];English;2.84;82
Boat Trip;nan;Mort Nathan;['Comedy'];English;1.95;94
Curious George;nan;Matthew O'Callaghan;['Family', 'Adventure', 'Comedy', 'Animation'];English;3.49;87
House of Sand and Fog;nan;Vadim Perelman;['Drama'];English;3.57;126
Woman in Gold;nan;Simon Curtis;['Drama'];English;3.4;109
The Roommate;nan;Christian E. Christiansen;['Thriller', 'Drama', 'Horror'];English;2.21;91
Laws of Attraction;nan;Peter Howitt;['Romance', 'Comedy'];English;2.75;90
Striptease;nan;Andrew Bergman;['Crime', 'Drama', 'Comedy'];English;2.33;115
True Crime;nan;Clint Eastwood;['Thriller', 'Mystery', 'Crime', 'Drama'];English;3.24;127
The Lincoln Lawyer;nan;Brad Furman;['Thriller', 'Crime', 'Drama'];English;3.53;119
Wild America;nan;William Dear;['Comedy', 'Adventure', 'Family'];English;3.01;106
Attack of the 50 Ft. Woman;nan;Christopher Guest;['TV Movie', 'Comedy', 'Science Fiction'];English;2.48;85
Jolene;nan;Dan Ireland;['Drama'];English;2.82;121
Plush;nan;Catherine Hardwicke;['Thriller'];English;2.66;98
Any Day Now;nan;Travis Fine;['Drama'];English;3.61;97
Patty Hearst;nan;Paul Schrader;['Drama'];English;3.38;108
Pink Cadillac;nan;Buddy Van Horn;['Drama', 'Adventure', 'Romance', 'Action', 'Comedy'];English;2.73;122
Tough Guys Don't Dance;nan;Norman Mailer;['Comedy', 'Drama', 'Crime'];English;3.08;109
Outlaws and Angels;nan;JT Mollner;['Thriller', 'Drama', 'Western'];English;2.99;120
Blue Car;nan;Karen Moncrieff;['Drama'];English;3.17;92
Female Perversions;nan;Susan Streitfeld;['Romance', 'Drama', 'Thriller'];English;3.26;115
The Green Hornet;nan;Michel Gondry;['Comedy', 'Crime', 'Action'];English;2.43;119
Shakespeare in Love;nan;John Madden;['Comedy', 'History', 'Romance'];English;3.3;123
Girl with a Pearl Earring;nan;Peter Webber;['Romance', 'Drama'];English;3.2;101
The Full Monty;nan;Peter Cattaneo;['Comedy'];English;3.7;91
The Titan;nan;Lennart Ruff;['Science Fiction', 'Thriller'];English;2.13;97
The Ghost and the Darkness;nan;Stephen Hopkins;['Action', 'History', 'Thriller', 'Horror', 'Adventure'];English;3.29;109
Black Knight;nan;Gil Junger;['Comedy', 'Adventure', 'Fantasy'];English;2.37;95
Wilde;nan;Brian Gilbert;['History', 'Drama'];English;3.29;118
John Adams;nan;Tom Hooper;['Drama'];English;4.03;502
In the Bedroom;nan;Todd Field;['Drama', 'Thriller'];English;3.85;130
Dead in a Week (Or Your Money Back);nan;Tom Edmunds;['Comedy', 'Drama', 'Action'];English;3.21;90
Belle;nan;Amma Asante;['Drama'];English;3.49;105
Johnny Guitar;nan;Nicholas Ray;['Western', 'Romance', 'Drama'];English;4.09;110
They Live by Night;nan;Nicholas Ray;['Romance', 'Crime', 'Drama'];English;3.89;96
King of Kings;nan;Nicholas Ray;['History', 'Drama'];English;3.38;171
Bitter Victory;nan;Nicholas Ray;['Drama', 'War'];English;3.75;102
On Dangerous Ground;nan;Nicholas Ray;['Drama', 'Crime'];English;3.73;82
Wind Across the Everglades;nan;Nicholas Ray, Budd Schulberg;['Drama', 'Adventure'];English;3.46;94
Run for Cover;nan;Nicholas Ray;['Drama', 'Western'];English;3.55;93
Party Girl;nan;Nicholas Ray;['Romance', 'Drama', 'Crime'];English;3.52;99
Macao;nan;Josef von Sternberg;['Crime', 'Drama', 'Adventure', 'Romance'];English;3.21;81
Hot Blood;nan;Nicholas Ray;['Romance', 'Drama', 'Music'];English;3.17;85
The True Story of Jesse James;nan;Nicholas Ray;['Western'];English;3.27;92
Flying Leathernecks;nan;Nicholas Ray;['War', 'Action', 'Drama'];English;2.98;102
Sudden Fear;nan;David Miller;['Thriller'];English;3.82;112
Crossfire;nan;Edward Dmytryk;['Mystery', 'Crime', 'Thriller'];English;3.57;86
The Greatest Show on Earth;nan;Cecil B. DeMille;['Drama', 'Romance'];English;2.94;152
The Cobweb;nan;Vincente Minnelli;['Drama'];English;3.39;124
Blood and Lace;nan;Philip S. Gilbert;['Horror', 'Drama', 'Thriller'];English;2.93;87
The Nesting;nan;Armand Weston;['Mystery', 'Horror'];English;2.64;104
Odds Against Tomorrow;nan;Robert Wise;['Drama', 'Thriller', 'Crime'];English;3.75;96
Mansion of the Doomed;nan;Michael Pataki;['Horror'];English;2.83;86
The Glass Wall;nan;Maxwell Shane;['Drama'];English;3.38;82
Chandler;nan;Paul Magwood;['Drama', 'Crime'];English;2.88;85
The Good Die Young;nan;Lewis Gilbert;['Crime', 'Thriller'];English;3.32;100
Man on a Tightrope;nan;Elia Kazan;['Drama', 'Thriller'];English;3.47;105
It Happened in Brooklyn;nan;Richard Whorf;['Music', 'Comedy', 'Romance'];English;3.29;105
A Woman's Secret;nan;Nicholas Ray;['Mystery', 'Drama'];English;2.98;84
Ride Beyond Vengeance;nan;Bernard McEveety;['Action', 'Western'];English;nan;101
Naked Alibi;nan;Jerry Hopper;['Crime', 'Drama', 'Thriller', 'Romance'];English;3.23;86
Roughshod;nan;Mark Robson;['Western'];English;3.34;88
Mama's Dirty Girls;nan;John Hayes;['Thriller', 'Crime'];English;3.08;82
The Sound of Fury;nan;Cy Endfield;['Crime', 'Drama'];English;3.63;85
The Hitch-Hiker;nan;Ida Lupino;['Thriller', 'Drama', 'Crime'];English;3.52;71
Home of the Brave;nan;Mark Robson;['War', 'Drama'];English;3.38;86
Black Bart;nan;George Sherman;['Western', 'Crime'];English;nan;80
The Americano;nan;William Castle;['Adventure', 'Western'];English;nan;85
The Charge at Feather River;nan;Gordon Douglas;['Western'];English;nan;95
Cole Younger, Gunfighter;nan;R.G. Springsteen;['Western'];English;nan;78
Men of the Fighting Lady;nan;Andrew Marton;['Drama', 'War'];English;nan;79
The Crooked Web;nan;Nathan Juran;['Crime', 'Drama'];English;3.19;77
The Egyptian;nan;Michael Curtiz;['Drama', 'History'];English;3.16;139
Broken Lance;nan;Edward Dmytryk;['Western'];English;3.39;96
Convicted;nan;Henry Levin;['Crime', 'Drama'];English;3.28;91
The Trap;nan;Norman Panama;['Thriller', 'Crime'];English;3.35;84
The Last of the Fast Guns;nan;George Sherman;['Western'];English;3.5;82
A Day of Fury;nan;Harmon Jones;['Western'];English;nan;79
The Underwater City;nan;Frank McDonald;['Science Fiction'];English;nan;78
Strange Intruder;nan;Irving Rapper;['Drama'];English;nan;82
The Flying Missile;nan;Henry Levin;['Drama'];English;nan;91
Smuggler's Gold;nan;William Berke;['Crime', 'Drama', 'Adventure'];English;nan;64
Stage to Tucson;nan;Ralph Murphy;['Western'];English;nan;81
Indian Uprising;nan;Ray Nazarro;['Western'];English;nan;72
The Family Secret;nan;Henry Levin;['Drama', 'Crime'];English;3.17;85
The Brigand;nan;Phil Karlson;['Adventure', 'Romance'];English;nan;94
The Bramble Bush;nan;Daniel Petrie;['Drama'];English;nan;93
Lorna Doone;nan;Phil Karlson;['Drama', 'Romance'];English;nan;88
Criminal Lawyer;nan;Seymour Friedman;['Crime'];English;nan;74
Tarzan's Fight for Life;nan;H. Bruce Humberstone;['Adventure', 'Action'];English;nan;86
One Desire;nan;Jerry Hopper;['Drama'];English;nan;94
Little Murders;nan;Alan Arkin;['Comedy', 'Crime'];English;3.7;108
The Telephone Box;nan;Antonio Mercero;['Horror', 'Drama'];Spanish;3.87;35
The Telephone Book;nan;Nelson Lyon;['Comedy', 'Romance', 'Drama'];English;3.59;87
Smithereens;nan;Susan Seidelman;['Drama', 'Music', 'Romance'];English;3.58;94
Tammy and the T-Rex;nan;Stewart Raffill;['Horror', 'Science Fiction', 'Romance', 'Comedy'];English;3.03;82
The Sweatbox;nan;John-Paul Davidson, Trudie Styler;['Documentary'];English;3.59;86
Tower;nan;Keith Maitland;['Animation', 'Crime', 'Documentary'];English;4.02;82
A Cat in the Brain;nan;Lucio Fulci;['Horror', 'Comedy'];Italian;3.06;93
Footprints on the Moon;nan;Luigi Bazzoni, Mario Fanelli;['Mystery', 'Thriller', 'Horror'];Italian;3.47;96
The Damned;nan;Luchino Visconti;['Drama', 'History'];Italian;3.78;158
The Last Valley;nan;James Clavell;['History', 'War', 'Drama'];English;3.47;128
The Master Touch;nan;Michele Lupo;['Action', 'Crime', 'Thriller'];English;3.34;112
The Last House on the Beach;nan;Franco Prosperi;['Drama', 'Crime', 'Horror', 'Thriller'];Italian;3.09;86
Detective Belli;nan;Romolo Guerrieri;['Crime', 'Drama'];Italian;3.27;103
Judah Friedlander: America Is the Greatest Country in the United States;nan;Judah Friedlander;['Documentary', 'Comedy'];English;3.8;84
The Marseille Contract;nan;Robert Parrish;['Crime', 'Action', 'Thriller'];English;3.21;91
Basically;nan;Ari Aster;['Comedy', 'Drama'];English;3.08;15
The Strange Thing About the Johnsons;nan;Ari Aster;['Horror', 'Drama'];English;3.19;30
The Turtle's Head;nan;Ari Aster;['Comedy'];English;3.04;12
C'est la Vie;nan;Ari Aster;['Comedy'];English;3.39;8
Hereditary;nan;Ari Aster;['Thriller', 'Horror', 'Mystery'];English;3.95;128
Munchausen;nan;Ari Aster;['Drama', 'Comedy'];No spoken language;3.28;17
Beau;nan;Ari Aster;['Comedy', 'Horror'];English;3.16;7
Closet Monster;nan;Stephen Dunn;['Fantasy', 'Drama', 'Mystery'];English;3.57;90
Walkabout;nan;Nicolas Roeg;['Drama', 'Adventure'];English;4.0;95
Being There;nan;Hal Ashby;['Comedy', 'Drama'];English;4.07;130
Tenebre;nan;Dario Argento;['Mystery', 'Thriller', 'Horror'];English;3.74;101
I Stand Alone;nan;Gaspar Noé;['Drama', 'Thriller'];French;3.61;89
Birds of Passage;nan;Ciro Guerra, Cristina Gallego;['Drama', 'Crime'];Spanish;3.93;125
The Battle of Algiers;nan;Gillo Pontecorvo;['War', 'History', 'Drama'];Arabic;4.41;121
Beautiful Boy;nan;Felix van Groeningen;['Drama'];English;3.99;119
We Wanted More;nan;Stephen Dunn;['Drama', 'Fantasy'];English;nan;16
The Transgressor;nan;Norifumi Suzuki;['Drama', 'Thriller', 'Horror'];Japanese;3.56;91
Let the Corpses Tan;nan;Hélène Cattet, Bruno Forzani;['Thriller', 'Western', 'Crime', 'Horror', 'Action'];French;3.5;92
The Weekend Murders;nan;Michele Lupo;['Thriller', 'Crime', 'Mystery'];Italian;3.29;98
They Called Him Bulldozer;nan;Michele Lupo;['Action', 'Comedy'];Italian;3.34;102
Arizona Colt;nan;Michele Lupo;['Western'];Italian;3.3;118
Why Did You Pick On Me?;nan;Michele Lupo;['Science Fiction', 'Comedy'];Italian;3.13;99
Buddy Goes West;nan;Michele Lupo;['Action', 'Comedy', 'Western'];Italian;3.26;90
The Sheriff and the Satellite Kid;nan;Michele Lupo;['Action', 'Comedy', 'Science Fiction'];Italian;3.18;88
Bomber;nan;Michele Lupo;['Action', 'Comedy', 'Drama'];Italian;3.2;101
Africa Express;nan;Michele Lupo;['Comedy', 'Action', 'Adventure'];Italian;nan;98
Mean Frank and Crazy Tony;nan;Michele Lupo;['Comedy', 'Crime'];Italian;3.28;93
California;nan;Michele Lupo;['Western'];Italian;3.45;98
Goliath and the Sins of Babylon;nan;Michele Lupo;['Fantasy', 'Adventure'];Italian;nan;92
The Revenge of the Gladiators;nan;Michele Lupo;['Adventure', 'History'];Italian;nan;105
Colossus of the Arena;nan;Michele Lupo;['Drama', 'Action', 'Adventure'];Italian;nan;98
Fistful of Knuckles;nan;Michele Lupo;['Western', 'Comedy'];Italian;nan;94
Master Stroke;nan;Michele Lupo;['Crime'];Italian;nan;111
Seven Slaves Against the World;nan;Michele Lupo;['History', 'Adventure'];Italian;nan;96
Day of Anger;nan;Tonino Valerii;['Western'];Italian;3.62;113
To Rome with Love;nan;Woody Allen;['Romance', 'Comedy'];English;2.92;111
Silver Saddle;nan;Lucio Fulci;['Western', 'Action'];Italian;3.15;100
Even Angels Eat Beans;nan;Enzo Barboni;['Crime', 'Comedy', 'Action'];Italian;3.22;118
Blood for a Silver Dollar;nan;Giorgio Ferroni;['Western', 'Romance', 'Action'];Italian;3.32;99
Mad Love;nan;Vicente Aranda;['History', 'Romance', 'Drama'];Spanish;3.17;115
Shoot First… Ask Questions Later;nan;Sergio Corbucci;['Comedy', 'Western', 'Adventure'];Italian;3.1;108
Adiós Gringo;nan;Giorgio Stegani;['Western'];Italian;3.26;100
Wanted;nan;Giorgio Ferroni;['Western', 'Romance', 'Action', 'Drama'];Italian;3.25;104
A Sky Full of Stars for a Roof;nan;Giulio Petroni;['Western'];Italian;3.27;97
The Bastard;nan;Duccio Tessari;['Crime', 'Action'];Italian;3.23;102
The Opponent;nan;Sergio Martino;['Action'];Italian;nan;94
Closed Circuit;nan;Giuliano Montaldo;['Crime', 'TV Movie'];Italian;3.59;106
Fort Yuma Gold;nan;Giorgio Ferroni;['Western', 'War'];Italian;3.24;105
The Biggest Battle;nan;Umberto Lenzi;['War', 'Drama'];French;nan;102
My Son, the Hero;nan;Duccio Tessari;['Fantasy', 'Adventure'];Italian;nan;111
Long Live Robin Hood;nan;Giorgio Ferroni;['Adventure'];Italian;nan;103
Corleone;nan;Pasquale Squitieri;['Crime', 'Thriller'];Italian;nan;108
Hercules Against the Sons of the Sun;nan;Osvaldo Civirani;['Adventure'];Italian;nan;88
The Two Gladiators;nan;Mario Caiano;['History', 'Adventure'];Italian;nan;100
Corbari;nan;Valentino Orsini;['War'];Italian;nan;97
Operation Leopard;nan;Raoul Coutard;['War'];French;nan;96
Scheherazade;nan;Pierre Gaspard-Huit;['Drama', 'Adventure'];French;nan;124
Erik the Viking;nan;Mario Caiano;['Adventure'];Italian;nan;95
When Women Had Tails;nan;Pasquale Festa Campanile;['Science Fiction', 'Comedy', 'Fantasy'];Italian;2.7;105
Imperfections;nan;David Singer;['Comedy', 'Mystery', 'Crime'];English;nan;109
Fatal Crossing;nan;Liam Hughes;['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller'];English;nan;95
Delicatessen;nan;Jean-Pierre Jeunet, Marc Caro;['Fantasy', 'Science Fiction', 'Comedy'];French;3.82;99
The Bunker of the Last Gunshots;nan;Jean-Pierre Jeunet, Marc Caro;['Science Fiction'];No spoken language;3.32;26
A Very Long Engagement;nan;Jean-Pierre Jeunet;['Drama', 'Romance', 'War'];French;3.71;133
Thir13en Ghosts;nan;Steve Beck;['Thriller', 'Horror'];English;2.67;91
The Hole;nan;Nick Hamm;['Crime', 'Thriller', 'Horror', 'Drama'];English;2.93;102
Mutator;nan;John R. Bowey;['Science Fiction', 'Horror'];German;nan;91
Sweet Murder;nan;Percival Rubens;['Thriller'];English;nan;101
Shackleton;nan;Charles Sturridge;['Drama'];English;3.5;206
Winged Creatures;nan;Rowan Woods;['Crime', 'Drama'];English;2.84;95
The Emperor's Club;nan;Michael Hoffman;['Drama'];English;3.21;108
Lake Placid;nan;Steve Miner;['Horror', 'Science Fiction', 'Thriller', 'Comedy', 'Action'];English;2.75;82
Singles;nan;Cameron Crowe;['Comedy', 'Drama', 'Romance', 'Music'];English;3.33;99
It Could Happen to You;nan;Andrew Bergman;['Comedy', 'Romance', 'Drama'];English;3.11;101
Single White Female;nan;Barbet Schroeder;['Horror', 'Thriller'];English;3.23;107
Kiss of the Dragon;nan;Chris Nahon;['Crime', 'Action', 'Thriller'];English;3.15;98
Point of No Return;nan;John Badham;['Action', 'Crime', 'Thriller'];English;2.97;108
Monkeybone;nan;Henry Selick;['Science Fiction', 'Animation', 'Adventure', 'Comedy', 'Fantasy'];English;2.71;93
Mr. Jealousy;nan;Noah Baumbach;['Romance', 'Comedy'];English;3.37;105
Shag;nan;Zelda Barron;['Comedy', 'Drama', 'Romance'];English;3.23;98
Camilla;nan;Deepa Mehta;['Adventure', 'Drama', 'Family', 'Comedy'];English;nan;95
Rough Magic;nan;Clare Peploe;['Romance', 'Fantasy', 'Comedy', 'Drama'];English;3.09;100
Touch;nan;Paul Schrader;['Romance', 'Comedy', 'Drama'];English;2.91;96
Scandal;nan;Michael Caton-Jones;['Drama', 'Romance', 'History'];English;3.24;115
The Road to Wellville;nan;Alan Parker;['Comedy', 'Drama', 'Romance'];English;2.92;118
You Can't Hurry Love;nan;Richard Martini;['Comedy', 'Romance'];English;nan;92
Leather Jackets;nan;Lee Drysdale;['Drama', 'Action'];English;nan;90
Iron Maze;nan;Hiroaki Yoshida;['Thriller', 'Drama'];English;nan;104
Break Up;nan;Paul Marcus;['Romance', 'Thriller'];English;2.85;100
