Film_title;Release_year;Director;Genres;Original_language;Average_rating;Runtime
Last Action Hero;nan;John McTiernan;['Adventure', 'Fantasy', 'Family', 'Comedy', 'Action'];English;3.4;131
Stardust;nan;Matthew Vaughn;['Romance', 'Family', 'Adventure', 'Fantasy'];English;3.63;127
The Da Vinci Code;nan;Ron Howard;['Mystery', 'Thriller'];English;3.15;149
The Keep;nan;Michael Mann;['Fantasy', 'Horror'];English;2.93;96
Justice League: War;nan;Jay Oliva;['Action', 'Animation'];English;3.25;79
The Do-Over;nan;Steven Brill;['Adventure', 'Action', 'Comedy'];English;2.22;108
50 First Dates;nan;Peter Segal;['Comedy', 'Romance'];English;3.31;99
Troy;nan;Wolfgang Petersen;['History', 'War', 'Adventure'];English;3.39;163
Tour de Pharmacy;nan;Jake Szymanski;['TV Movie', 'Comedy'];English;3.54;40
The Good Doctor;nan;Lance Daly;['Mystery', 'Drama', 'Thriller'];English;2.72;93
King Solomon's Mines;nan;J. Lee Thompson;['Comedy', 'Adventure', 'Action'];English;2.54;100
In the Name of the King: A Dungeon Siege Tale;nan;Uwe Boll;['Action', 'Drama', 'Adventure', 'Fantasy'];English;1.68;127
The Jungle Book 2;nan;Steve Trenbirth;['Family', 'Animation', 'Adventure'];English;2.5;72
Firewalker;nan;J. Lee Thompson;['Comedy', 'Adventure', 'Action'];English;2.52;104
Aladdin and the King of Thieves;nan;Tad Stones;['Adventure', 'Animation', 'Family'];English;2.84;81
Waxwork;nan;Anthony Hickox;['Horror', 'Comedy'];English;3.06;97
National Treasure;nan;Jon Turteltaub;['Thriller', 'Mystery', 'Adventure', 'Action'];English;3.3;131
Silent Hill;nan;Christophe Gans;['Mystery', 'Horror'];English;3.09;125
Pixels;nan;Chris Columbus;['Action', 'Science Fiction', 'Fantasy', 'Comedy'];English;2.27;106
Equilibrium;nan;Kurt Wimmer;['Action', 'Thriller', 'Science Fiction'];English;3.3;107
GoldenEye;nan;Martin Campbell;['Action', 'Adventure', 'Thriller'];English;3.56;130
Percy Jackson & the Olympians: The Lightning Thief;nan;Chris Columbus;['Adventure', 'Fantasy', 'Family'];English;2.64;118
Silent Hill: Revelation 3D;nan;M.J. Bassett;['Mystery', 'Thriller', 'Horror'];English;1.9;94
How to Train Your Dragon 2;nan;Dean DeBlois;['Comedy', 'Animation', 'Adventure', 'Action', 'Fantasy', 'Family'];English;3.79;102
Blue Jasmine;nan;Woody Allen;['Drama'];English;3.67;99
Cinderella;nan;Kenneth Branagh;['Romance', 'Family', 'Fantasy', 'Drama'];English;3.24;105
The Aviator;nan;Martin Scorsese;['Drama'];English;3.75;170
Babel;nan;Alejandro González Iñárritu;['Drama'];English;3.68;143
Hanna;nan;Joe Wright;['Thriller', 'Action', 'Adventure'];English;3.37;111
Knight of Cups;nan;Terrence Malick;['Drama', 'Romance'];English;3.29;118
Robin Hood;nan;Ridley Scott;['Action', 'History', 'Adventure'];English;2.78;140
Song to Song;nan;Terrence Malick;['Drama', 'Romance', 'Music'];English;3.05;129
The Monuments Men;nan;George Clooney;['History', 'Action', 'War', 'Drama'];English;2.82;118
Elizabeth;nan;Shekhar Kapur;['History', 'Drama'];English;3.59;124
The Curious Case of Benjamin Button;nan;David Fincher;['Romance', 'Drama', 'Fantasy'];English;3.65;166
The Matrix;nan;Lana Wachowski, Lilly Wachowski;['Science Fiction', 'Action'];English;4.17;136
V for Vendetta;nan;James McTeigue;['Thriller', 'Science Fiction', 'Action'];English;3.86;132
Transformers: Dark of the Moon;nan;Michael Bay;['Action', 'Science Fiction', 'Adventure'];English;2.67;154
The Wolfman;nan;Joe Johnston;['Thriller', 'Horror'];English;2.71;103
Legend of the Guardians: The Owls of Ga'Hoole;nan;Zack Snyder;['Animation', 'Adventure', 'Fantasy', 'Family'];English;3.11;97
The Incredible Hulk;nan;Louis Leterrier;['Science Fiction', 'Action', 'Adventure'];English;2.49;114
Empire Records;nan;Allan Moyle;['Music', 'Comedy', 'Drama'];English;3.55;90
Armageddon;nan;Michael Bay;['Thriller', 'Science Fiction', 'Action', 'Adventure'];English;3.12;151
Stealing Beauty;nan;Bernardo Bertolucci;['Drama', 'Romance'];English;3.32;116
Star Wars: Episode III – Revenge of the Sith;nan;George Lucas;['Science Fiction', 'Adventure', 'Action'];English;3.91;140
Hugo;nan;Martin Scorsese;['Adventure', 'Family', 'Drama'];English;3.5;126
Corpse Bride;nan;Mike Johnson, Tim Burton;['Animation', 'Fantasy', 'Romance'];English;3.87;77
Dark Shadows;nan;Tim Burton;['Comedy', 'Fantasy'];English;2.76;113
Season of the Witch;nan;Dominic Sena;['Fantasy', 'Adventure', 'Action'];English;2.2;95
The Last Unicorn;nan;Arthur Rankin, Jr., Jules Bass;['Family', 'Adventure', 'Fantasy', 'Animation'];English;3.77;92
The Man with the Golden Gun;nan;Guy Hamilton;['Action', 'Adventure', 'Thriller'];English;3.1;125
The Curse of Frankenstein;nan;Terence Fisher;['Science Fiction', 'Horror'];English;3.52;83
Hamlet;nan;Laurence Olivier;['Drama'];English;3.72;153
1941;nan;Steven Spielberg;['Comedy', 'War', 'Action'];English;2.62;118
Star Wars: The Clone Wars;nan;Dave Filoni;['Action', 'Adventure', 'Science Fiction', 'Animation'];English;2.89;98
Dracula;nan;Terence Fisher;['Horror'];English;3.59;82
Horror Express;nan;Eugenio Martín;['Horror'];English;3.33;87
Dracula: Prince of Darkness;nan;Terence Fisher;['Horror'];English;3.31;86
The Mummy;nan;Terence Fisher;['Horror'];English;3.25;88
The Whip and the Body;nan;Mario Bava;['Drama', 'Horror'];Italian;3.52;87
Death Line;nan;Gary Sherman;['Horror'];English;3.08;87
The Private Life of Sherlock Holmes;nan;Billy Wilder;['Comedy', 'Crime', 'History', 'Adventure', 'Mystery'];English;3.47;125
Dracula Has Risen from the Grave;nan;Freddie Francis;['Horror'];English;3.2;92
Dr. Terror's House of Horrors;nan;Freddie Francis;['Horror'];English;3.26;98
The Three Musketeers;nan;Richard Lester;['Romance', 'Family', 'Adventure', 'Action'];English;3.43;106
The House That Dripped Blood;nan;Peter Duffell;['Mystery', 'Horror'];English;3.22;102
Dracula A.D. 1972;nan;Alan Gibson;['Horror'];English;3.06;96
Seed of Chucky;nan;Don Mancini;['Horror', 'Comedy'];English;2.62;88
The Flying Scotsman;nan;Douglas Mackinnon;['Drama'];English;3.31;96
X-Men Origins: Wolverine;nan;Gavin Hood;['Science Fiction', 'Adventure', 'Action'];English;2.46;107
The Adventures of Tintin;nan;Steven Spielberg;['Adventure', 'Animation', 'Mystery'];English;3.62;107
Ratatouille;nan;Brad Bird;['Animation', 'Family', 'Comedy', 'Fantasy'];English;4.22;111
From Hell;nan;Albert Hughes, Allen Hughes;['Horror', 'Thriller', 'Mystery'];English;3.05;122
Lord of War;nan;Andrew Niccol;['Drama', 'Thriller', 'Crime'];English;3.59;122
eXistenZ;nan;David Cronenberg;['Science Fiction', 'Thriller', 'Action'];English;3.6;97
The Day After Tomorrow;nan;Roland Emmerich;['Action', 'Thriller', 'Science Fiction', 'Adventure'];English;2.97;123
Underworld: Rise of the Lycans;nan;Patrick Tatopoulos;['Thriller', 'Action', 'Fantasy'];English;2.81;92
Iron Man 3;nan;Shane Black;['Action', 'Adventure', 'Science Fiction'];English;3.04;130
Fish Tank;nan;Andrea Arnold;['Drama'];English;3.84;123
Fury;nan;David Ayer;['War', 'Drama', 'Action'];English;3.76;135
Nymphomaniac: Vol. I;nan;Lars von Trier;['Drama'];English;3.49;118
Disturbia;nan;D.J. Caruso;['Drama', 'Mystery', 'Thriller'];English;3.12;105
Constantine;nan;Francis Lawrence;['Fantasy', 'Action', 'Horror'];English;3.39;121
Lawless;nan;John Hillcoat;['Western', 'Drama', 'Crime'];English;3.38;115
Charlie's Angels: Full Throttle;nan;McG;['Comedy', 'Adventure', 'Action'];English;2.89;106
Wall Street: Money Never Sleeps;nan;Oliver Stone;['Drama', 'Crime'];English;2.81;133
It Comes at Night;nan;Trey Edward Shults;['Drama', 'Mystery', 'Horror'];English;3.16;91
Magic Mike;nan;Steven Soderbergh;['Comedy', 'Drama'];English;2.98;110
The Discovery;nan;Charlie McDowell;['Thriller', 'Romance', 'Drama', 'Science Fiction', 'Mystery'];English;3.05;102
Yellow;nan;Nick Cassavetes;['Drama'];English;nan;109
Heaven Knows What;nan;Benny Safdie, Josh Safdie;['Drama', 'Crime'];English;3.68;97
28 Weeks Later;nan;Juan Carlos Fresnadillo;['Horror', 'Science Fiction', 'Thriller'];English;3.1;100
Spy Game;nan;Tony Scott;['Thriller', 'Crime', 'Action'];English;3.33;126
The World Is Not Enough;nan;Michael Apted;['Adventure', 'Thriller', 'Action'];English;2.89;128
Beyond the Clouds;nan;Michelangelo Antonioni;['Romance', 'Drama'];French;3.23;110
The Party;nan;Claude Pinoteau;['Drama', 'Comedy', 'Romance'];French;3.54;110
LOL (Laughing Out Loud);nan;Lisa Azuelos;['Comedy'];French;3.5;103
Scanners;nan;David Cronenberg;['Horror', 'Science Fiction'];English;3.47;103
Escape from Alcatraz;nan;Don Siegel;['Thriller', 'Drama'];English;3.77;113
The Lost City of Z;nan;James Gray;['History', 'Adventure', 'Drama'];English;3.41;141
Saw III;nan;Darren Lynn Bousman;['Thriller', 'Horror', 'Crime'];English;2.97;108
Jason and the Argonauts;nan;Nick Willing;['Family'];English;2.91;240
Titus;nan;Julie Taymor;['History', 'Drama'];English;3.63;162
In Bruges;nan;Martin McDonagh;['Drama', 'Comedy', 'Crime'];English;4.12;108
Assassin's Creed;nan;Justin Kurzel;['Science Fiction', 'Adventure', 'Action'];English;1.99;116
The Village;nan;M. Night Shyamalan;['Mystery', 'Drama', 'Thriller'];English;3.34;108
Mission: Impossible II;nan;John Woo;['Action', 'Thriller', 'Adventure'];English;2.66;123
Song of the Sea;nan;Tomm Moore;['Fantasy', 'Animation', 'Family'];English;4.23;94
In the Heart of the Sea;nan;Ron Howard;['Drama', 'Adventure', 'History', 'Thriller', 'Action'];English;3.05;122
The Pirates! In an Adventure with Scientists!;nan;Peter Lord;['Animation', 'Family', 'Comedy', 'Adventure'];English;3.38;88
The Secret of Kells;nan;Nora Twomey, Tomm Moore;['Animation', 'Family', 'Fantasy'];English;3.85;78
Beowulf;nan;Robert Zemeckis;['Action', 'Adventure', 'Animation'];English;2.69;115
Live by Night;nan;Ben Affleck;['Crime', 'Thriller', 'Drama'];English;2.79;129
The Smurfs 2;nan;Raja Gosnell;['Comedy', 'Fantasy', 'Family', 'Animation'];English;2.08;104
Harry Potter and the Deathly Hallows: Part 1;nan;David Yates;['Fantasy', 'Adventure'];English;3.72;146
T2 Trainspotting;nan;Danny Boyle;['Drama', 'Crime', 'Comedy'];English;3.56;117
Highlander;nan;Russell Mulcahy;['Action', 'Adventure', 'Fantasy'];English;3.33;116
Emma;nan;Douglas McGrath;['Romance', 'Comedy', 'Drama'];English;3.26;121
The Last Legion;nan;Doug Lefler;['Action', 'Adventure', 'War', 'Fantasy'];English;2.44;102
Citadel;nan;Ciarán Foy;['Thriller', 'Drama', 'Horror'];English;2.92;85
The Wind That Shakes the Barley;nan;Ken Loach;['War', 'Drama'];English;3.96;127
Apocalypto;nan;Mel Gibson;['Drama', 'Action', 'History'];Mayan;3.82;139
Kick-Ass 2;nan;Jeff Wadlow;['Action', 'Crime', 'Adventure'];English;2.76;103
The Cabin in the Woods;nan;Drew Goddard;['Horror', 'Mystery'];English;3.39;95
Bicentennial Man;nan;Chris Columbus;['Science Fiction', 'Drama'];English;3.23;131
Adventures in Babysitting;nan;Chris Columbus;['Comedy'];English;3.44;102
Into the Wild;nan;Sean Penn;['Drama', 'Adventure'];English;3.81;148
The 40 Year Old Virgin;nan;Judd Apatow;['Romance', 'Comedy'];English;3.32;116
Where the Wild Things Are;nan;Spike Jonze;['Fantasy', 'Drama', 'Family', 'Adventure'];English;3.51;101
Jackass Presents: Bad Grandpa;nan;Jeff Tremaine;['Comedy'];English;2.81;92
The Social Network;nan;David Fincher;['Drama'];English;3.94;121
American Made;nan;Doug Liman;['Comedy', 'Crime', 'Drama'];English;3.41;115
Finding Nemo;nan;Andrew Stanton;['Animation', 'Family'];English;4.04;100
Rango;nan;Gore Verbinski;['Western', 'Family', 'Animation', 'Comedy', 'Adventure'];English;3.7;112
Trumbo;nan;Jay Roach;['Drama'];English;3.43;124
The Men Who Stare at Goats;nan;Grant Heslov;['Comedy', 'War'];English;3.04;94
Mike and Dave Need Wedding Dates;nan;Jake Szymanski;['Comedy'];English;2.52;98
Ice Age: The Meltdown;nan;Carlos Saldanha;['Adventure', 'Comedy', 'Family', 'Animation'];English;3.12;91
Black Rain;nan;Ridley Scott;['Thriller', 'Action', 'Drama'];English;3.25;125
